id,x,y,minlon,maxlon,minla,maxla,landuse
278.0,19.0,83.0,4.5631,4.566,52.2567,52.2585,1.0
279.0,19.0,84.0,4.5631,4.566,52.2586,52.2603,1.0
280.0,19.0,85.0,4.5631,4.566,52.2603,52.2621,1.0
281.0,19.0,86.0,4.5631,4.566,52.2622,52.2639,1.0
282.0,19.0,88.0,4.5631,4.566,52.2657,52.2675,1.0
283.0,19.0,89.0,4.5631,4.566,52.2676,52.2693,3.0
284.0,19.0,91.0,4.5631,4.566,52.2712,52.2729,3.0
286.0,19.0,104.0,4.5631,4.566,52.2945,52.2963,1.0
287.0,19.0,105.0,4.5631,4.566,52.2963,52.2981,1.0
289.0,19.0,124.0,4.5631,4.566,52.3305,52.3323,4.0
290.0,19.0,194.0,4.5631,4.566,52.4565,52.4583,4.0
295.0,20.0,35.0,4.566,4.569,52.1704,52.1721,5.0
296.0,20.0,38.0,4.566,4.569,52.1757,52.1775,3.0
300.0,20.0,46.0,4.566,4.569,52.1901,52.1919,3.0
301.0,20.0,47.0,4.566,4.569,52.192,52.1937,4.0
304.0,20.0,73.0,4.566,4.569,52.2387,52.2405,4.0
306.0,20.0,75.0,4.566,4.569,52.2423,52.2441,3.0
307.0,20.0,76.0,4.566,4.569,52.2442,52.2459,1.0
310.0,20.0,81.0,4.566,4.569,52.2532,52.2549,3.0
311.0,20.0,82.0,4.566,4.569,52.2549,52.2567,1.0
312.0,20.0,83.0,4.566,4.569,52.2567,52.2585,1.0
313.0,20.0,84.0,4.566,4.569,52.2586,52.2603,1.0
314.0,20.0,86.0,4.566,4.569,52.2622,52.2639,3.0
315.0,20.0,87.0,4.566,4.569,52.2639,52.2657,1.0
316.0,20.0,91.0,4.566,4.569,52.2712,52.2729,3.0
317.0,20.0,92.0,4.566,4.569,52.2729,52.2747,3.0
318.0,20.0,108.0,4.566,4.569,52.3018,52.3035,3.0
319.0,20.0,109.0,4.566,4.569,52.3035,52.3053,3.0
322.0,20.0,114.0,4.566,4.569,52.3125,52.3143,1.0
324.0,20.0,143.0,4.566,4.569,52.3647,52.3665,3.0
327.0,20.0,188.0,4.566,4.569,52.4457,52.4475,1.0
328.0,20.0,195.0,4.566,4.569,52.4583,52.4601,3.0
329.0,20.0,197.0,4.566,4.569,52.4619,52.4637,3.0
330.0,20.0,201.0,4.566,4.569,52.4691,52.4709,3.0
336.0,21.0,80.0,4.569,4.572,52.2513,52.2531,1.0
337.0,21.0,81.0,4.569,4.572,52.2532,52.2549,3.0
338.0,21.0,82.0,4.569,4.572,52.2549,52.2567,1.0
339.0,21.0,83.0,4.569,4.572,52.2567,52.2585,1.0
340.0,21.0,85.0,4.569,4.572,52.2603,52.2621,1.0
341.0,21.0,86.0,4.569,4.572,52.2622,52.2639,4.0
343.0,21.0,92.0,4.569,4.572,52.2729,52.2747,3.0
344.0,21.0,93.0,4.569,4.572,52.2747,52.2765,3.0
345.0,21.0,95.0,4.569,4.572,52.2783,52.2801,3.0
347.0,21.0,107.0,4.569,4.572,52.2999,52.3017,2.0
348.0,21.0,112.0,4.569,4.572,52.3089,52.3107,1.0
349.0,21.0,113.0,4.569,4.572,52.3108,52.3125,3.0
351.0,21.0,115.0,4.569,4.572,52.3143,52.3161,3.0
352.0,21.0,116.0,4.569,4.572,52.3161,52.3179,4.0
356.0,21.0,195.0,4.569,4.572,52.4583,52.4601,3.0
358.0,22.0,76.0,4.572,4.575,52.2442,52.2459,3.0
362.0,22.0,80.0,4.572,4.575,52.2513,52.2531,3.0
364.0,22.0,83.0,4.572,4.575,52.2567,52.2585,1.0
365.0,22.0,84.0,4.572,4.575,52.2586,52.2603,1.0
368.0,22.0,92.0,4.572,4.575,52.2729,52.2747,3.0
369.0,22.0,93.0,4.572,4.575,52.2747,52.2765,3.0
370.0,22.0,95.0,4.572,4.575,52.2783,52.2801,3.0
371.0,22.0,96.0,4.572,4.575,52.2802,52.2819,1.0
372.0,22.0,98.0,4.572,4.575,52.2838,52.2855,3.0
373.0,22.0,99.0,4.572,4.575,52.2855,52.2873,1.0
375.0,22.0,102.0,4.572,4.575,52.2909,52.2927,1.0
376.0,22.0,105.0,4.572,4.575,52.2963,52.2981,4.0
378.0,22.0,113.0,4.572,4.575,52.3108,52.3125,3.0
381.0,22.0,116.0,4.572,4.575,52.3161,52.3179,1.0
382.0,22.0,117.0,4.572,4.575,52.3179,52.3197,2.0
383.0,22.0,118.0,4.572,4.575,52.3198,52.3215,1.0
386.0,22.0,143.0,4.572,4.575,52.3647,52.3665,2.0
388.0,22.0,193.0,4.572,4.575,52.4547,52.4565,4.0
390.0,22.0,196.0,4.572,4.575,52.4601,52.4619,3.0
391.0,22.0,197.0,4.572,4.575,52.4619,52.4637,3.0
393.0,23.0,32.0,4.575,4.578,52.165,52.1667,4.0
396.0,23.0,47.0,4.575,4.578,52.192,52.1937,3.0
397.0,23.0,48.0,4.575,4.578,52.1937,52.1955,4.0
402.0,23.0,80.0,4.575,4.578,52.2513,52.2531,2.0
403.0,23.0,81.0,4.575,4.578,52.2532,52.2549,1.0
404.0,23.0,82.0,4.575,4.578,52.2549,52.2567,1.0
408.0,23.0,91.0,4.575,4.578,52.2712,52.2729,3.0
409.0,23.0,97.0,4.575,4.578,52.2819,52.2837,1.0
410.0,23.0,98.0,4.575,4.578,52.2838,52.2855,3.0
412.0,23.0,100.0,4.575,4.578,52.2873,52.2891,1.0
413.0,23.0,101.0,4.575,4.578,52.2892,52.2909,1.0
414.0,23.0,102.0,4.575,4.578,52.2909,52.2927,1.0
415.0,23.0,104.0,4.575,4.578,52.2945,52.2963,3.0
416.0,23.0,105.0,4.575,4.578,52.2963,52.2981,1.0
417.0,23.0,106.0,4.575,4.578,52.2982,52.2999,1.0
418.0,23.0,109.0,4.575,4.578,52.3035,52.3053,3.0
419.0,23.0,114.0,4.575,4.578,52.3125,52.3143,3.0
421.0,23.0,117.0,4.575,4.578,52.3179,52.3197,2.0
422.0,23.0,118.0,4.575,4.578,52.3198,52.3215,2.0
424.0,23.0,141.0,4.575,4.578,52.3611,52.3629,2.0
425.0,23.0,143.0,4.575,4.578,52.3647,52.3665,2.0
426.0,23.0,144.0,4.575,4.578,52.3665,52.3683,2.0
428.0,23.0,197.0,4.575,4.578,52.4619,52.4637,3.0
429.0,23.0,204.0,4.575,4.578,52.4745,52.4763,4.0
430.0,24.0,33.0,4.578,4.581,52.1667,52.1685,3.0
435.0,24.0,48.0,4.578,4.581,52.1937,52.1955,1.0
437.0,24.0,51.0,4.578,4.581,52.1991,52.2009,2.0
444.0,24.0,91.0,4.578,4.581,52.2712,52.2729,4.0
445.0,24.0,96.0,4.578,4.581,52.2802,52.2819,1.0
446.0,24.0,98.0,4.578,4.581,52.2838,52.2855,2.0
447.0,24.0,99.0,4.578,4.581,52.2855,52.2873,3.0
448.0,24.0,100.0,4.578,4.581,52.2873,52.2891,1.0
449.0,24.0,101.0,4.578,4.581,52.2892,52.2909,1.0
450.0,24.0,102.0,4.578,4.581,52.2909,52.2927,1.0
451.0,24.0,103.0,4.578,4.581,52.2928,52.2945,1.0
452.0,24.0,105.0,4.578,4.581,52.2963,52.2981,1.0
453.0,24.0,106.0,4.578,4.581,52.2982,52.2999,1.0
454.0,24.0,107.0,4.578,4.581,52.2999,52.3017,1.0
455.0,24.0,108.0,4.578,4.581,52.3018,52.3035,3.0
459.0,24.0,121.0,4.578,4.581,52.3251,52.3269,2.0
461.0,24.0,124.0,4.578,4.581,52.3305,52.3323,2.0
463.0,24.0,143.0,4.578,4.581,52.3647,52.3665,2.0
465.0,25.0,33.0,4.5811,4.584,52.1667,52.1685,2.0
466.0,25.0,34.0,4.5811,4.584,52.1685,52.1703,1.0
468.0,25.0,38.0,4.5811,4.584,52.1757,52.1775,3.0
469.0,25.0,47.0,4.5811,4.584,52.192,52.1937,2.0
470.0,25.0,48.0,4.5811,4.584,52.1937,52.1955,2.0
471.0,25.0,49.0,4.5811,4.584,52.1955,52.1973,3.0
472.0,25.0,50.0,4.5811,4.584,52.1974,52.1991,2.0
476.0,25.0,78.0,4.5811,4.584,52.2477,52.2495,1.0
478.0,25.0,95.0,4.5811,4.584,52.2783,52.2801,1.0
479.0,25.0,96.0,4.5811,4.584,52.2802,52.2819,1.0
481.0,25.0,98.0,4.5811,4.584,52.2838,52.2855,1.0
482.0,25.0,100.0,4.5811,4.584,52.2873,52.2891,1.0
483.0,25.0,101.0,4.5811,4.584,52.2892,52.2909,1.0
484.0,25.0,102.0,4.5811,4.584,52.2909,52.2927,1.0
485.0,25.0,103.0,4.5811,4.584,52.2928,52.2945,1.0
488.0,25.0,107.0,4.5811,4.584,52.2999,52.3017,1.0
489.0,25.0,108.0,4.5811,4.584,52.3018,52.3035,1.0
490.0,25.0,109.0,4.5811,4.584,52.3035,52.3053,3.0
494.0,25.0,137.0,4.5811,4.584,52.354,52.3557,4.0
496.0,25.0,143.0,4.5811,4.584,52.3647,52.3665,2.0
499.0,25.0,190.0,4.5811,4.584,52.4493,52.4511,3.0
505.0,26.0,34.0,4.5841,4.587,52.1685,52.1703,2.0
506.0,26.0,35.0,4.5841,4.587,52.1704,52.1721,3.0
507.0,26.0,36.0,4.5841,4.587,52.1721,52.1739,2.0
511.0,26.0,47.0,4.5841,4.587,52.192,52.1937,1.0
512.0,26.0,48.0,4.5841,4.587,52.1937,52.1955,3.0
515.0,26.0,61.0,4.5841,4.587,52.2171,52.2189,3.0
518.0,26.0,80.0,4.5841,4.587,52.2513,52.2531,3.0
520.0,26.0,96.0,4.5841,4.587,52.2802,52.2819,1.0
521.0,26.0,97.0,4.5841,4.587,52.2819,52.2837,1.0
522.0,26.0,98.0,4.5841,4.587,52.2838,52.2855,1.0
523.0,26.0,99.0,4.5841,4.587,52.2855,52.2873,1.0
524.0,26.0,100.0,4.5841,4.587,52.2873,52.2891,3.0
525.0,26.0,101.0,4.5841,4.587,52.2892,52.2909,3.0
526.0,26.0,102.0,4.5841,4.587,52.2909,52.2927,1.0
527.0,26.0,103.0,4.5841,4.587,52.2928,52.2945,1.0
528.0,26.0,104.0,4.5841,4.587,52.2945,52.2963,1.0
530.0,26.0,106.0,4.5841,4.587,52.2982,52.2999,3.0
531.0,26.0,107.0,4.5841,4.587,52.2999,52.3017,3.0
532.0,26.0,108.0,4.5841,4.587,52.3018,52.3035,3.0
533.0,26.0,109.0,4.5841,4.587,52.3035,52.3053,3.0
534.0,26.0,110.0,4.5841,4.587,52.3053,52.3071,1.0
535.0,26.0,111.0,4.5841,4.587,52.3072,52.3089,3.0
536.0,26.0,114.0,4.5841,4.587,52.3125,52.3143,3.0
540.0,26.0,140.0,4.5841,4.587,52.3594,52.3611,2.0
543.0,26.0,190.0,4.5841,4.587,52.4493,52.4511,1.0
545.0,26.0,214.0,4.5841,4.587,52.4925,52.4943,3.0
546.0,27.0,26.0,4.5871,4.59,52.1541,52.1559,2.0
551.0,27.0,44.0,4.5871,4.59,52.1865,52.1883,2.0
557.0,27.0,55.0,4.5871,4.59,52.2063,52.2081,2.0
559.0,27.0,69.0,4.5871,4.59,52.2316,52.2333,1.0
560.0,27.0,70.0,4.5871,4.59,52.2333,52.2351,1.0
566.0,27.0,101.0,4.5871,4.59,52.2892,52.2909,3.0
567.0,27.0,102.0,4.5871,4.59,52.2909,52.2927,1.0
568.0,27.0,103.0,4.5871,4.59,52.2928,52.2945,1.0
569.0,27.0,104.0,4.5871,4.59,52.2945,52.2963,1.0
570.0,27.0,105.0,4.5871,4.59,52.2963,52.2981,1.0
571.0,27.0,106.0,4.5871,4.59,52.2982,52.2999,1.0
572.0,27.0,107.0,4.5871,4.59,52.2999,52.3017,3.0
573.0,27.0,109.0,4.5871,4.59,52.3035,52.3053,1.0
574.0,27.0,110.0,4.5871,4.59,52.3053,52.3071,1.0
575.0,27.0,111.0,4.5871,4.59,52.3072,52.3089,3.0
576.0,27.0,112.0,4.5871,4.59,52.3089,52.3107,2.0
577.0,27.0,113.0,4.5871,4.59,52.3108,52.3125,3.0
578.0,27.0,114.0,4.5871,4.59,52.3125,52.3143,3.0
580.0,27.0,117.0,4.5871,4.59,52.3179,52.3197,3.0
581.0,27.0,119.0,4.5871,4.59,52.3215,52.3233,3.0
582.0,27.0,120.0,4.5871,4.59,52.3234,52.3251,1.0
585.0,27.0,135.0,4.5871,4.59,52.3504,52.3521,2.0
593.0,27.0,191.0,4.5871,4.59,52.4511,52.4529,1.0
594.0,27.0,197.0,4.5871,4.59,52.4619,52.4637,3.0
595.0,27.0,213.0,4.5871,4.59,52.4907,52.4925,2.0
596.0,27.0,214.0,4.5871,4.59,52.4925,52.4943,1.0
597.0,27.0,216.0,4.5871,4.59,52.4961,52.4979,1.0
598.0,27.0,217.0,4.5871,4.59,52.4979,52.4997,3.0
600.0,28.0,34.0,4.59,4.593,52.1685,52.1703,3.0
601.0,28.0,39.0,4.59,4.593,52.1775,52.1793,3.0
603.0,28.0,41.0,4.59,4.593,52.1811,52.1829,3.0
606.0,28.0,49.0,4.59,4.593,52.1955,52.1973,3.0
607.0,28.0,55.0,4.59,4.593,52.2063,52.2081,2.0
609.0,28.0,58.0,4.59,4.593,52.2117,52.2135,2.0
612.0,28.0,71.0,4.59,4.593,52.2351,52.2369,1.0
614.0,28.0,86.0,4.59,4.593,52.2622,52.2639,3.0
615.0,28.0,96.0,4.59,4.593,52.2802,52.2819,2.0
616.0,28.0,97.0,4.59,4.593,52.2819,52.2837,3.0
619.0,28.0,102.0,4.59,4.593,52.2909,52.2927,3.0
620.0,28.0,103.0,4.59,4.593,52.2928,52.2945,1.0
621.0,28.0,104.0,4.59,4.593,52.2945,52.2963,4.0
623.0,28.0,106.0,4.59,4.593,52.2982,52.2999,1.0
